courseName,courseLetter,courseNumber,Item,ItemType,,CourseName,CourseLetter,CourseNumber
CIS 110,CIS,110,Programming Minor checksheet,Program,,,,
CIS 110,CIS,110,Software Development Certificate checksheet,Program,,,,
CIS 120,CIS,120,CIS 315,Prereq,,,,
CIS 120,CIS,120,CIS 325,Prereq,,,,
CIS 120,CIS,120,CIS 354,Prereq,,,,
CIS 120,CIS,120,CIS 454,Prereq,,,,
CIS 120,CIS,120,CIS-Cyber Fundamentals Certificate checksheet,Program,,,,
CIS 120,CIS,120,"Computer Information Systems, AS checksheet",Program,,,,
CIS 120,CIS,120,"Computer Information Systems, BS checksheet",Program,,,,
CIS 120,CIS,120,"Computer Information Systems, PBS checksheet",Program,,,,
CIS 120,CIS,120,DSC 325,Prereq,,,,
CIS 120,CIS,120,DSC 454,Prereq,,,,
CIS 120,CIS,120,"Data Science, BS checksheet",Program,,,,
CIS 120,CIS,120,"Data Science, PBS checksheet",Program,,,,
CIS 120,CIS,120,"Machine Learning, Minor checksheet",Program,,,,
CIS 120,CIS,120,Programming Minor checksheet,Program,,,,
CIS 120,CIS,120,Software Development Certificate checksheet,Program,,,,
CIS 131,CIS,131,CIS 231,Prereq,,,,
CIS 131,CIS,131,CIS 243,Prereq,,,,
CIS 131,CIS,131,CIS 251,Prereq,,,,
CIS 131,CIS,131,CIS 333,Prereq,,,,
CIS 131,CIS,131,CIS 338,Prereq,,,,
CIS 131,CIS,131,CIS 339,Prereq,,,,
CIS 131,CIS,131,CIS 353,Prereq,,,,
CIS 131,CIS,131,CIS 438,Prereq,,,,
CIS 131,CIS,131,CIS-Cyber Fundamentals Certificate checksheet,Program,,,,
CIS 131,CIS,131,Computer Information Systems Minor checksheet,Program,,,,
CIS 131,CIS,131,"Computer Information Systems, AS checksheet",Program,,,,
CIS 131,CIS,131,"Computer Information Systems, BS checksheet",Program,,,,
CIS 131,CIS,131,"Computer Information Systems, PBS checksheet",Program,,,,
CIS 131,CIS,131,"Data Science, BS checksheet",Program,,,,
CIS 131,CIS,131,"Management, BSBA checksheet",Program,,,,
CIS 131,CIS,131,Small Business Management Minor checksheet,Program,,,,
CIS 131,CIS,131,Social Media Certificate checksheet,Program,,,,
CIS 131,CIS,131,Web Applications Minor checksheet,Program,,,,
CIS 131,CIS,131,Web Development Certificate checksheet,Program,,,,
CIS 135,CIS,135,BUA 303,Prereq,,,,
CIS 135,CIS,135,BUA 350,Prereq,,,,
CIS 135,CIS,135,BUA 379,Prereq,,,,
CIS 135,CIS,135,CIS 255,Prereq,,,,
CIS 135,CIS,135,CIS 303,Prereq,,,,
CIS 135,CIS,135,CIS 338,Prereq,,,,
CIS 135,CIS,135,CIS 352,Prereq,,,,
CIS 135,CIS,135,CIS 355,Prereq,,,,
CIS 135,CIS,135,CIS 438,Prereq,,,,
CIS 135,CIS,135,"Computer Information Systems, AS checksheet",Program,,,,
CIS 135,CIS,135,"Computer Information Systems, BS checksheet",Program,,,,
CIS 135,CIS,135,DSC 255,Prereq,,,,
CIS 135,CIS,135,DSC 352,Prereq,,,,
CIS 135,CIS,135,DSC 355,Prereq,,,,
CIS 135,CIS,135,Data Science Certificate checksheet,Program,,,,
CIS 135,CIS,135,"Data Science, BS checksheet",Program,,,,
CIS 135,CIS,135,INT 352,Prereq,,,,
CIS 135,CIS,135,"Information & Library Science, AS checksheet",Program,,,,
CIS 135,CIS,135,"Information & Library Science, BS checksheet",Program,,,,
CIS 135,CIS,135,Web Development Certificate checksheet,Program,,,,
CIS 150,CIS,150,"Accounting, BSBA checksheet",Program,,,,
CIS 150,CIS,150,BUA 300,Prereq,,,,
CIS 150,CIS,150,"Business Administration, PBS checksheet",Program,,,,
CIS 150,CIS,150,CIS 218,Prereq,,,,
CIS 150,CIS,150,CIS 255,Prereq,,,,
CIS 150,CIS,150,CIS 352,Prereq,,,,
CIS 150,CIS,150,CIS 355,Prereq,,,,
CIS 150,CIS,150,CIS 370,Prereq,,,,
CIS 150,CIS,150,CIS-Cyber Fundamentals Certificate checksheet,Program,,,,
CIS 150,CIS,150,Computer Information Systems Minor checksheet,Program,,,,
CIS 150,CIS,150,"Computer Information Systems, BS checksheet",Program,,,,
CIS 150,CIS,150,"Computer Information Systems, PBS checksheet",Program,,,,
CIS 150,CIS,150,DSC 255,Prereq,,,,
CIS 150,CIS,150,DSC 352,Prereq,,,,
CIS 150,CIS,150,DSC 355,Prereq,,,,
CIS 150,CIS,150,DSC 370,Prereq,,,,
CIS 150,CIS,150,Data Science Certificate checksheet,Program,,,,
CIS 150,CIS,150,"Data Science, BS checksheet",Program,,,,
CIS 150,CIS,150,"Data Science, Minor checksheet",Program,,,,
CIS 150,CIS,150,"Data Science, PBS checksheet",Program,,,,
CIS 150,CIS,150,Geographic Information Systems Minor checksheet,Program,,,,
CIS 150,CIS,150,INT 352,Prereq,,,,
CIS 150,CIS,150,"Information & Library Science, AS checksheet",Program,,,,
CIS 150,CIS,150,"Information & Library Science, BS checksheet",Program,,,,
CIS 150,CIS,150,MAT 370,Prereq,,,,
CIS 150,CIS,150,"Management, BSBA checksheet",Program,,,,
CIS 212,CIS,212,CIS 312,Prereq,,,,
CIS 212,CIS,212,CIS 325,Prereq,,,,
CIS 212,CIS,212,"Computer Information Systems, AS checksheet",Program,,,,
CIS 212,CIS,212,"Computer Information Systems, BS checksheet",Program,,,,
CIS 212,CIS,212,"Computer Information Systems, PBS checksheet",Program,,,,
CIS 212,CIS,212,DSC 325,Prereq,,,,
CIS 212,CIS,212,"Management, BSBA checksheet",Program,,,,
CIS 212,CIS,212,Software Development Certificate checksheet,Program,,,,
CIS 214,CIS,214,CIS 314,Prereq,,,,
CIS 214,CIS,214,CIS 325,Prereq,,,,
CIS 214,CIS,214,"Computer Information Systems, AS checksheet",Program,,,,
CIS 214,CIS,214,"Computer Information Systems, BS checksheet",Program,,,,
CIS 214,CIS,214,"Computer Information Systems, PBS checksheet",Program,,,,
CIS 214,CIS,214,DSC 325,Prereq,,,,
CIS 214,CIS,214,"Management, BSBA checksheet",Program,,,,
CIS 214,CIS,214,Software Development Certificate checksheet,Program,,,,
CIS 215,CIS,215,CIS 325,Prereq,,,,
CIS 215,CIS,215,"Computer Information Systems, AS checksheet",Program,,,,
CIS 215,CIS,215,"Computer Information Systems, BS checksheet",Program,,,,
CIS 215,CIS,215,"Computer Information Systems, PBS checksheet",Program,,,,
CIS 215,CIS,215,DSC 325,Prereq,,,,
CIS 215,CIS,215,"Management, BSBA checksheet",Program,,,,
CIS 215,CIS,215,Software Development Certificate checksheet,Program,,,,
CIS 216,CIS,216,CIS 325,Prereq,,,,
CIS 216,CIS,216,"Computer Information Systems, AS checksheet",Program,,,,
CIS 216,CIS,216,"Computer Information Systems, BS checksheet",Program,,,,
CIS 216,CIS,216,"Computer Information Systems, PBS checksheet",Program,,,,
CIS 216,CIS,216,DSC 325,Prereq,,,,
CIS 216,CIS,216,Software Development Certificate checksheet,Program,,,,
CIS 218,CIS,218,"Computer Information Systems, BS checksheet",Program,,,,
CIS 218,CIS,218,Data Science Certificate checksheet,Program,,,,
CIS 218,CIS,218,"Data Science, BS checksheet",Program,,,,
CIS 218,CIS,218,"Data Science, Minor checksheet",Program,,,,
CIS 218,CIS,218,"Data Science, PBS checksheet",Program,,,,
CIS 218,CIS,218,Geographic Information Systems Minor checksheet,Program,,,,
CIS 218,CIS,218,"Management, BSBA checksheet",Program,,,,
CIS 218,CIS,218,Programming Minor checksheet,Program,,,,
CIS 218,CIS,218,Software Development Certificate checksheet,Program,,,,
CIS 219,CIS,219,"Computer Information Systems, BS checksheet",Program,,,,
CIS 219,CIS,219,Software Development Certificate checksheet,Program,,,,
CIS 220,CIS,220,CIS 242,Prereq,,,,
CIS 220,CIS,220,CIS 246,Prereq,,,,
CIS 220,CIS,220,CIS 345,Prereq,,,,
CIS 220,CIS,220,"Computer Information Systems, BS checksheet",Program,,,,
CIS 220,CIS,220,Computer Networking Minor checksheet,Program,,,,
CIS 220,CIS,220,Cyber Forensics Certificate checksheet,Program,,,,
CIS 220,CIS,220,Cyber Forensics Minor checksheet,Program,,,,
CIS 220,CIS,220,"Cybersecurity Operations, Certificate checksheet",Program,,,,
CIS 220,CIS,220,"Cybersecurity, AS checksheet",Program,,,,
CIS 220,CIS,220,"Cybersecurity, BS checksheet",Program,,,,
CIS 220,CIS,220,ISS 430,Prereq,,,,
CIS 220,CIS,220,Management Information Systems Concentration checksheet,Program,,,,
CIS 220,CIS,220,Networking Certificate checksheet,Program,,,,
CIS 220,CIS,220,System Administration Minor checksheet,Program,,,,
CIS 220,CIS,220,Systems Administration Certificate checksheet,Program,,,,
CIS 221,CIS,221,CIS-Cyber Fundamentals Certificate checksheet,Program,,,,
CIS 221,CIS,221,"Computer Information Systems, AS checksheet",Program,,,,
CIS 221,CIS,221,"Computer Information Systems, BS checksheet",Program,,,,
CIS 221,CIS,221,"Computer Information Systems, PBS checksheet",Program,,,,
CIS 221,CIS,221,Cybersecurity Minor checksheet,Program,,,,
CIS 221,CIS,221,"Cybersecurity Operations, Certificate checksheet",Program,,,,
CIS 221,CIS,221,"Cybersecurity, AS checksheet",Program,,,,
CIS 221,CIS,221,"Cybersecurity, BS checksheet",Program,,,,
CIS 221,CIS,221,ISS 282,Prereq,,,,
CIS 221,CIS,221,ISS 320,Prereq,,,,
CIS 221,CIS,221,ISS 360,Prereq,,,,
CIS 221,CIS,221,ISS 385,Prereq,,,,
CIS 225,CIS,225,DSC 225,CrossList,,,,
CIS 225,CIS,225,"Data Science, BS checksheet",Program,,,,
CIS 225,CIS,225,"Data Science, PBS checksheet",Program,,,,
CIS 225,CIS,225,Health Informatics Certificate checksheet,Program,,,,
CIS 225,CIS,225,NUR 220,Prereq,,,,
CIS 225,CIS,225,NUR 224,Prereq,,,,
CIS 225,CIS,225,NUR 225,CrossList,,,,
CIS 225,CIS,225,NUR 310,Prereq,,,,
CIS 225,CIS,225,NUR 311,Prereq,,,,
CIS 225,CIS,225,"Nursing (4-Year), BSN checksheet",Program,,,,
CIS 225,CIS,225,"Nursing (RN-BSN Completion), BSN checksheet",Program,,,,
CIS 231,CIS,231,"Computer Information Systems, BS checksheet",Program,,,,
CIS 231,CIS,231,"Management, BSBA checksheet",Program,,,,
CIS 231,CIS,231,Web Applications Minor checksheet,Program,,,,
CIS 231,CIS,231,Web Development Certificate checksheet,Program,,,,
CIS 240,CIS,240,CIS 241,Prereq,,,,
CIS 240,CIS,240,CIS 242,Prereq,,,,
CIS 240,CIS,240,CIS 245,Prereq,,,,
CIS 240,CIS,240,CIS 246,Prereq,,,,
CIS 240,CIS,240,CIS 260,Prereq,,,,
CIS 240,CIS,240,CIS 330,Prereq,,,,
CIS 240,CIS,240,CIS 345,Prereq,,,,
CIS 240,CIS,240,CIS 440,Prereq,,,,
CIS 240,CIS,240,CIS-Cyber Fundamentals Certificate checksheet,Program,,,,
CIS 240,CIS,240,Computer Information Systems Minor checksheet,Program,,,,
CIS 240,CIS,240,"Computer Information Systems, AS checksheet",Program,,,,
CIS 240,CIS,240,"Computer Information Systems, BS checksheet",Program,,,,
CIS 240,CIS,240,"Computer Information Systems, PBS checksheet",Program,,,,
CIS 240,CIS,240,Computer Networking Minor checksheet,Program,,,,
CIS 240,CIS,240,Cybersecurity Certificate checksheet,Program,,,,
CIS 240,CIS,240,Cybersecurity Minor checksheet,Program,,,,
CIS 240,CIS,240,"Cybersecurity Operations, Certificate checksheet",Program,,,,
CIS 240,CIS,240,"Cybersecurity, AS checksheet",Program,,,,
CIS 240,CIS,240,"Cybersecurity, BS checksheet",Program,,,,
CIS 240,CIS,240,ISS 282,Prereq,,,,
CIS 240,CIS,240,ISS 310,Prereq,,,,
CIS 240,CIS,240,ISS 320,Prereq,,,,
CIS 240,CIS,240,ISS 360,Prereq,,,,
CIS 240,CIS,240,"Management, BSBA checksheet",Program,,,,
CIS 240,CIS,240,Networking Certificate checksheet,Program,,,,
CIS 240,CIS,240,System Administration Minor checksheet,Program,,,,
CIS 240,CIS,240,Systems Administration Certificate checksheet,Program,,,,
CIS 241,CIS,241,CIS 340,Prereq,,,,
CIS 242,CIS,242,CIS 244,Prereq,,,,
CIS 242,CIS,242,CIS 342,Prereq,,,,
CIS 242,CIS,242,"Computer Information Systems, BS checksheet",Program,,,,
CIS 242,CIS,242,System Administration Minor checksheet,Program,,,,
CIS 242,CIS,242,Systems Administration Certificate checksheet,Program,,,,
CIS 244,CIS,244,"Computer Information Systems, BS checksheet",Program,,,,
CIS 244,CIS,244,System Administration Minor checksheet,Program,,,,
CIS 244,CIS,244,Systems Administration Certificate checksheet,Program,,,,
CIS 245,CIS,245,"Computer Information Systems, BS checksheet",Program,,,,
CIS 245,CIS,245,Computer Networking Minor checksheet,Program,,,,
CIS 245,CIS,245,Networking Certificate checksheet,Program,,,,
CIS 246,CIS,246,CIS 248,Prereq,,,,
CIS 246,CIS,246,CIS 342,Prereq,,,,
CIS 246,CIS,246,"Computer Information Systems, BS checksheet",Program,,,,
CIS 246,CIS,246,ISS 320,Prereq,,,,
CIS 246,CIS,246,Networking Certificate checksheet,Program,,,,
CIS 246,CIS,246,System Administration Minor checksheet,Program,,,,
CIS 246,CIS,246,Systems Administration Certificate checksheet,Program,,,,
CIS 248,CIS,248,"Computer Information Systems, BS checksheet",Program,,,,
CIS 248,CIS,248,System Administration Minor checksheet,Program,,,,
CIS 248,CIS,248,Systems Administration Certificate checksheet,Program,,,,
CIS 251,CIS,251,"Computer Information Systems, BS checksheet",Program,,,,
CIS 251,CIS,251,Web Applications Minor checksheet,Program,,,,
CIS 251,CIS,251,Web Development Certificate checksheet,Program,,,,
CIS 255,CIS,255,BUA 450,Prereq,,,,
CIS 255,CIS,255,CIS 218,Prereq,,,,
CIS 255,CIS,255,CIS 330,Prereq,,,,
CIS 255,CIS,255,CIS 350,Prereq,,,,
CIS 255,CIS,255,CIS 449,Prereq,,,,
CIS 255,CIS,255,CIS 450,Prereq,,,,
CIS 255,CIS,255,Computer Information Systems Minor checksheet,Program,,,,
CIS 255,CIS,255,"Computer Information Systems, AS checksheet",Program,,,,
CIS 255,CIS,255,"Computer Information Systems, BS checksheet",Program,,,,
CIS 255,CIS,255,"Computer Information Systems, PBS checksheet",Program,,,,
CIS 255,CIS,255,DSC 255,CrossList,,,,
CIS 255,CIS,255,DSC 449,Prereq,,,,
CIS 255,CIS,255,DSC 450,Prereq,,,,
CIS 255,CIS,255,"Data Science, BS checksheet",Program,,,,
CIS 255,CIS,255,"Data Science, Minor checksheet",Program,,,,
CIS 255,CIS,255,"Data Science, PBS checksheet",Program,,,,
CIS 255,CIS,255,Geographic Information Systems Minor checksheet,Program,,,,
CIS 255,CIS,255,MAT 449,Prereq,,,,
CIS 255,CIS,255,MAT 450,Prereq,,,,
CIS 255,CIS,255,"Management, BSBA checksheet",Program,,,,
CIS 260,CIS,260,CIS 262,Prereq,,,,
CIS 260,CIS,260,"Computer Information Systems, BS checksheet",Program,,,,
CIS 260,CIS,260,Computer Networking Minor checksheet,Program,,,,
CIS 260,CIS,260,Networking Certificate checksheet,Program,,,,
CIS 262,CIS,262,CIS 362,Prereq,,,,
CIS 262,CIS,262,"Computer Information Systems, BS checksheet",Program,,,,
CIS 262,CIS,262,Computer Networking Minor checksheet,Program,,,,
CIS 262,CIS,262,Networking Certificate checksheet,Program,,,,
CIS 303,CIS,303,BUA 303,CrossList,,,,
CIS 303,CIS,303,BUA 450,Prereq,,,,
CIS 303,CIS,303,Business Administration Minor checksheet,Program,,,,
CIS 303,CIS,303,"Business Administration, PBS checksheet",Program,,,,
CIS 303,CIS,303,CIS 450,Prereq,,,,
CIS 303,CIS,303,DSC 450,Prereq,,,,
CIS 303,CIS,303,"Data Science, BS checksheet",Program,,,,
CIS 303,CIS,303,Human Resource Management Certificate checksheet,Program,,,,
CIS 303,CIS,303,Human Resource Management Minor checksheet,Program,,,,
CIS 303,CIS,303,MAT 450,Prereq,,,,
CIS 303,CIS,303,Management Information Systems Concentration checksheet,Program,,,,
CIS 303,CIS,303,"Management, BSBA checksheet",Program,,,,
CIS 303,CIS,303,Music Business Minor checksheet,Program,,,,
CIS 303,CIS,303,"Public Administration, BS checksheet",Program,,,,
CIS 303,CIS,303,Small Business Management Minor checksheet,Program,,,,
CIS 312,CIS,312,"Computer Information Systems, BS checksheet",Program,,,,
CIS 312,CIS,312,"Management, BSBA checksheet",Program,,,,
CIS 312,CIS,312,Software Development Certificate checksheet,Program,,,,
CIS 314,CIS,314,"Computer Information Systems, BS checksheet",Program,,,,
CIS 314,CIS,314,"Management, BSBA checksheet",Program,,,,
CIS 314,CIS,314,Software Development Certificate checksheet,Program,,,,
CIS 315,CIS,315,"Computer Information Systems, BS checksheet",Program,,,,
CIS 315,CIS,315,Software Development Certificate checksheet,Program,,,,
CIS 319,CIS,319,"Computer Information Systems, BS checksheet",Program,,,,
CIS 319,CIS,319,Software Development Certificate checksheet,Program,,,,
CIS 325,CIS,325,CIS 425,Prereq,,,,
CIS 325,CIS,325,"Computer Information Systems, BS checksheet",Program,,,,
CIS 325,CIS,325,DSC 325,CrossList,,,,
CIS 325,CIS,325,DSC 425,Prereq,,,,
CIS 325,CIS,325,"Data Science, BS checksheet",Program,,,,
CIS 325,CIS,325,"Data Science, PBS checksheet",Program,,,,
CIS 325,CIS,325,"Machine Learning, Minor checksheet",Program,,,,
CIS 330,CIS,330,BUA 450,Prereq,,,,
CIS 330,CIS,330,CIS 450,Prereq,,,,
CIS 330,CIS,330,CIS 470,Prereq,,,,
CIS 330,CIS,330,Computer Information Systems Minor checksheet,Program,,,,
CIS 330,CIS,330,"Computer Information Systems, BS checksheet",Program,,,,
CIS 330,CIS,330,"Computer Information Systems, PBS checksheet",Program,,,,
CIS 330,CIS,330,"Cybersecurity, BS checksheet",Program,,,,
CIS 330,CIS,330,DSC 450,Prereq,,,,
CIS 330,CIS,330,Health Informatics Certificate checksheet,Program,,,,
CIS 330,CIS,330,Information Assurance Certificate checksheet,Program,,,,
CIS 330,CIS,330,MAT 450,Prereq,,,,
CIS 330,CIS,330,"Management, BSBA checksheet",Program,,,,
CIS 333,CIS,333,CIS 334,Prereq,,,,
CIS 333,CIS,333,CIS 438,Prereq,,,,
CIS 333,CIS,333,"Computer Information Systems, BS checksheet",Program,,,,
CIS 333,CIS,333,"Computer Information Systems, PBS checksheet",Program,,,,
CIS 333,CIS,333,Software Development Certificate checksheet,Program,,,,
CIS 333,CIS,333,Web Applications Minor checksheet,Program,,,,
CIS 333,CIS,333,Web Development Certificate checksheet,Program,,,,
CIS 334,CIS,334,"Computer Information Systems, BS checksheet",Program,,,,
CIS 334,CIS,334,Software Development Certificate checksheet,Program,,,,
CIS 334,CIS,334,Web Applications Minor checksheet,Program,,,,
CIS 334,CIS,334,Web Development Certificate checksheet,Program,,,,
CIS 338,CIS,338,"Computer Information Systems, BS checksheet",Program,,,,
CIS 338,CIS,338,Web Development Certificate checksheet,Program,,,,
CIS 339,CIS,339,"Computer Information Systems, BS checksheet",Program,,,,
CIS 339,CIS,339,Web Development Certificate checksheet,Program,,,,
CIS 340,CIS,340,CIS 348,Prereq,,,,
CIS 342,CIS,342,"Computer Information Systems, BS checksheet",Program,,,,
CIS 342,CIS,342,Networking Certificate checksheet,Program,,,,
CIS 342,CIS,342,System Administration Minor checksheet,Program,,,,
CIS 342,CIS,342,Systems Administration Certificate checksheet,Program,,,,
CIS 345,CIS,345,CIS 346,Prereq,,,,
CIS 345,CIS,345,"Computer Information Systems, BS checksheet",Program,,,,
CIS 345,CIS,345,Networking Certificate checksheet,Program,,,,
CIS 345,CIS,345,Systems Administration Certificate checksheet,Program,,,,
CIS 346,CIS,346,"Computer Information Systems, BS checksheet",Program,,,,
CIS 346,CIS,346,Systems Administration Certificate checksheet,Program,,,,
CIS 350,CIS,350,CIS 351,Prereq,,,,
CIS 350,CIS,350,"Computer Information Systems, BS checksheet",Program,,,,
CIS 350,CIS,350,"Data Science, BS checksheet",Program,,,,
CIS 350,CIS,350,"Data Science, PBS checksheet",Program,,,,
CIS 350,CIS,350,Health Informatics Certificate checksheet,Program,,,,
CIS 350,CIS,350,"Management, BSBA checksheet",Program,,,,
CIS 352,CIS,352,ART 550,Prereq,,,,
CIS 352,CIS,352,"Business Administration, PBS checksheet",Program,,,,
CIS 352,CIS,352,CIS 449,Prereq,,,,
CIS 352,CIS,352,Crime Analysis and GIS Certificate checksheet,Program,,,,
CIS 352,CIS,352,DSC 352,CrossList,,,,
CIS 352,CIS,352,DSC 449,Prereq,,,,
CIS 352,CIS,352,Data Science Certificate checksheet,Program,,,,
CIS 352,CIS,352,"Data Science, BS checksheet",Program,,,,
CIS 352,CIS,352,"Data Science, Minor checksheet",Program,,,,
CIS 352,CIS,352,"Data Science, PBS checksheet",Program,,,,
CIS 352,CIS,352,Geographic Information Systems Minor checksheet,Program,,,,
CIS 352,CIS,352,Health Informatics Certificate checksheet,Program,,,,
CIS 352,CIS,352,INT 352,CrossList,,,,
CIS 352,CIS,352,MAT 449,Prereq,,,,
CIS 352,CIS,352,"Management, BSBA checksheet",Program,,,,
CIS 353,CIS,353,"Computer Information Systems, BS checksheet",Program,,,,
CIS 353,CIS,353,Programming Minor checksheet,Program,,,,
CIS 353,CIS,353,Software Development Certificate checksheet,Program,,,,
CIS 354,CIS,354,CIS 454,Prereq,,,,
CIS 354,CIS,354,"Computer Information Systems, BS checksheet",Program,,,,
CIS 354,CIS,354,DSC 454,Prereq,,,,
CIS 354,CIS,354,"Data Science, BS checksheet",Program,,,,
CIS 354,CIS,354,"Data Science, Minor checksheet",Program,,,,
CIS 354,CIS,354,"Data Science, PBS checksheet",Program,,,,
CIS 354,CIS,354,"Machine Learning, Minor checksheet",Program,,,,
CIS 354,CIS,354,"Management, BSBA checksheet",Program,,,,
CIS 354,CIS,354,Programming Minor checksheet,Program,,,,
CIS 354,CIS,354,Software Development Certificate checksheet,Program,,,,
CIS 355,CIS,355,DSC 355,CrossList,,,,
CIS 355,CIS,355,"Data Science, BS checksheet",Program,,,,
CIS 355,CIS,355,"Data Science, Minor checksheet",Program,,,,
CIS 355,CIS,355,"Data Science, PBS checksheet",Program,,,,
CIS 355,CIS,355,Geographic Information Systems Minor checksheet,Program,,,,
CIS 360,CIS,360,BUA 450,Prereq,,,,
CIS 360,CIS,360,CIS 218,Prereq,,,,
CIS 360,CIS,360,CIS 255,Prereq,,,,
CIS 360,CIS,360,CIS 352,Prereq,,,,
CIS 360,CIS,360,CIS 355,Prereq,,,,
CIS 360,CIS,360,CIS 449,Prereq,,,,
CIS 360,CIS,360,CIS 450,Prereq,,,,
CIS 360,CIS,360,Crime Analysis and GIS Certificate checksheet,Program,,,,
CIS 360,CIS,360,DSC 255,Prereq,,,,
CIS 360,CIS,360,DSC 352,Prereq,,,,
CIS 360,CIS,360,DSC 355,Prereq,,,,
CIS 360,CIS,360,DSC 360,CrossList,,,,
CIS 360,CIS,360,DSC 449,Prereq,,,,
CIS 360,CIS,360,DSC 450,Prereq,,,,
CIS 360,CIS,360,"Data Science, BS checksheet",Program,,,,
CIS 360,CIS,360,"Data Science, Minor checksheet",Program,,,,
CIS 360,CIS,360,"Data Science, PBS checksheet",Program,,,,
CIS 360,CIS,360,Digital Forensics Certificate checksheet,Program,,,,
CIS 360,CIS,360,Geographic Information Systems Minor checksheet,Program,,,,
CIS 360,CIS,360,Health Informatics Certificate checksheet,Program,,,,
CIS 360,CIS,360,INT 352,Prereq,,,,
CIS 360,CIS,360,MAT 449,Prereq,,,,
CIS 360,CIS,360,MAT 450,Prereq,,,,
CIS 360,CIS,360,Networking Certificate checksheet,Program,,,,
CIS 360,CIS,360,"Public Administration 2+2, BS checksheet",Program,,,,
CIS 360,CIS,360,"Public Administration, BS checksheet",Program,,,,
CIS 360,CIS,360,"Public Administration, PBS checksheet",Program,,,,
CIS 362,CIS,362,"Computer Information Systems, BS checksheet",Program,,,,
CIS 362,CIS,362,Computer Networking Minor checksheet,Program,,,,
CIS 370,CIS,370,"Data Science, BS checksheet",Program,,,,
CIS 370,CIS,370,"Management, BSBA checksheet",Program,,,,
CIS 380,CIS,380,"Computer Information Systems, BS checksheet",Program,,,,
CIS 380,CIS,380,"Data Science, BS checksheet",Program,,,,
CIS 410,CIS,410,"Computer Information Systems, BS checksheet",Program,,,,
CIS 410,CIS,410,Programming Minor checksheet,Program,,,,
CIS 410,CIS,410,Software Development Certificate checksheet,Program,,,,
CIS 425,CIS,425,DSC 425,CrossList,,,,
CIS 425,CIS,425,"Data Science, BS checksheet",Program,,,,
CIS 425,CIS,425,"Data Science, PBS checksheet",Program,,,,
CIS 425,CIS,425,"Machine Learning, Minor checksheet",Program,,,,
CIS 438,CIS,438,"Computer Information Systems, BS checksheet",Program,,,,
CIS 438,CIS,438,Web Applications Minor checksheet,Program,,,,
CIS 438,CIS,438,Web Development Certificate checksheet,Program,,,,
CIS 440,CIS,440,"Computer Information Systems, BS checksheet",Program,,,,
CIS 440,CIS,440,Computer Networking Minor checksheet,Program,,,,
CIS 440,CIS,440,Cybersecurity Certificate checksheet,Program,,,,
CIS 440,CIS,440,"Cybersecurity Operations, Certificate checksheet",Program,,,,
CIS 440,CIS,440,"Cybersecurity, BS checksheet",Program,,,,
CIS 440,CIS,440,Networking Certificate checksheet,Program,,,,
CIS 449,CIS,449,CIS 325,Prereq,,,,
CIS 449,CIS,449,"Computer Information Systems, BS checksheet",Program,,,,
CIS 449,CIS,449,"Computer Information Systems, PBS checksheet",Program,,,,
CIS 449,CIS,449,DSC 325,Prereq,,,,
CIS 449,CIS,449,DSC 449,CrossList,,,,
CIS 449,CIS,449,Data Science Certificate checksheet,Program,,,,
CIS 449,CIS,449,"Data Science, BS checksheet",Program,,,,
CIS 449,CIS,449,"Data Science, Minor checksheet",Program,,,,
CIS 449,CIS,449,"Data Science, PBS checksheet",Program,,,,
CIS 449,CIS,449,Geographic Information Systems Minor checksheet,Program,,,,
CIS 449,CIS,449,MAT 449,CrossList,,,,
CIS 450,CIS,450,BUA 450,CrossList,,,,
CIS 450,CIS,450,"Business Administration, PBS checksheet",Program,,,,
CIS 450,CIS,450,DSC 450,CrossList,,,,
CIS 450,CIS,450,"Data Science, BS checksheet",Program,,,,
CIS 450,CIS,450,"Data Science, Minor checksheet",Program,,,,
CIS 450,CIS,450,"Data Science, PBS checksheet",Program,,,,
CIS 450,CIS,450,MAT 450,CrossList,,,,
CIS 450,CIS,450,"Management, BSBA checksheet",Program,,,,
CIS 454,CIS,454,"Computer Information Systems, BS checksheet",Program,,,,
CIS 454,CIS,454,DSC 454,CrossList,,,,
CIS 454,CIS,454,"Data Science, BS checksheet",Program,,,,
CIS 454,CIS,454,"Data Science, PBS checksheet",Program,,,,
CIS 454,CIS,454,Programming Minor checksheet,Program,,,,
CIS 460,CIS,460,American Studies Minor checksheet,Program,,,,
CIS 460,CIS,460,Computer Information Systems Minor checksheet,Program,,,,
CIS 460,CIS,460,"Computer Information Systems, BS checksheet",Program,,,,
CIS 460,CIS,460,"Computer Information Systems, PBS checksheet",Program,,,,
CIS 460,CIS,460,"Cybersecurity, BS checksheet",Program,,,,
CIS 460,CIS,460,"Data Science, BS checksheet",Program,,,,
CIS 460,CIS,460,"Data Science, PBS checksheet",Program,,,,
CIS 460,CIS,460,"Public Administration, BS checksheet",Program,,,,
CIS 460,CIS,460,Social Media Certificate checksheet,Program,,,,
CIS 470,CIS,470,"Computer Information Systems, BS checksheet",Program,,,,
CIS 470,CIS,470,"Computer Information Systems, PBS checksheet",Program,,,,
CIS 480,CIS,480,"Computer Information Systems, BS checksheet",Program,,,,
CNB 100,CNB,100,JUS 365,Prereq,,,,
CNB 100,CNB,100,SOC 240,Prereq,,,,
